Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch)
arosa-3-pc-fire-pit-counter-height-set-patio-set,Furniture of America - AROSA 3 Pc. Fire Pit Counter Height Set Patio Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AROSA 3 Pc. Fire Pit Counter Height Set creates a cohesive setup that feels inviting the moment you walk in. This outdoor patio set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. With Steel, Ceramic Tile, Polyrattan, Polyspun Fabric construction and Black or Gray tones, it blends durability with visual warmth.<br>
Product Dimensions: Table: 36.4""L X 36.4""W X 36.6""H, Chair: 25.1""W X 26.3""D X 44.8""H</p>

<p>Features<br>
- Black or Gray<br>
- 360-Degree Swivel Seats<br>
- Tile Top Firepit Tabletop<br>
- Mixed Material Construction<br>
- Powder Coated Steel Frame<br>
- Easy To Assemble Included items and dimensions:<br>
- Fire Pit Counter Height Table: color: Black or Gray; dimensions: 36.5"" W x 36.5""D x 36.5"" H; feature: Contemporary<br>
- Swivel Counter Height Arm Chair (2 / CTN): color: Black or Gray; dimensions: 25"" W x 26""D x 45"" H; feature: Contemporary</p>

<p>Materials: Steel, Ceramic Tile, Polyrattan, Polyspun Fabric.<br>
Color: Black or Gray<br>
Weight: 154 lbs</p>",GOODDEGG,,Patio Set,"2026, AROSA, Furniture of America, New Arrival, Outdoor, Outdoor Furniture, Patio Set, Quick Ship Furniture, LTL",true,Title,Default Title,,,,,,,,GM-2024-3PC,69852.998183815,shopify,20,deny,manual,820,1707.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2024-3PC_44beb430-b31d-4aeb-8622-73538cfb7c6a.jpg?v=1773958127,1,arosa-3-pc-fire-pit-counter-height-set-patio-set,false,AROSA 3 Pc. Fire Pit Counter Height Set Patio Set,"Shop AROSA 3 Pc. Fire Pit Counter Height Set Patio Set. Contemporary style. Steel, Ceramic Tile build. Color: Black/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2024-3PC_44beb430-b31d-4aeb-8622-73538cfb7c6a.jpg?v=1773958127,lb,,649.00,Active,154,20.3,"Table: 36.4""L X 36.4""W X 36.6""H, Chair: 25.1""W X 26.3""D X 44.8""H"
arosa-3-pc-fire-pit-counter-height-set-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2024-3PC-WB-1_749a323f-1992-490a-8818-44f3d90fe0f8.jpg?v=1773958127,2,arosa-3-pc-fire-pit-counter-height-set-patio-set,,,,,,,,Active,,,
arosa-3-pc-fire-pit-counter-height-set-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2024-WB-1_0b15c755-cc93-4f64-81cd-84565b47238a.jpg?v=1773958127,3,arosa-3-pc-fire-pit-counter-height-set-patio-set,,,,,,,,Active,,,
barbuda-6-pc-conversation-set-w-fire-pit-patio-set,Furniture of America - BARBUDA 6 Pc. Conversation Set w/ Fire Pit Patio Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BARBUDA 6 Pc. Conversation Set w/ Fire Pit is designed for everyday living, balancing comfort with a clean, finished look. This outdoor patio set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. Built from Steel, Polyrattan, Polyspun Fabric and finished in Gray tones for a clean, cohesive look.<br>
Product Dimensions: Fire Pit Table: 39""DIA X 27""H, Semi-circle Sectional: 64""W X 29""D X 33.5""H, End Table: 21""W X 28.5""D X 24""H</p>

<p>Features<br>
- Modular Design<br>
- Tile Top Firepit Tabletop<br>
- FSC Certified Teak Wood<br>
- Mixed Material Construction<br>
- Powder Coated Steel Frame<br>
- Washable Cushion Covers Included items and dimensions:<br>
- Fire Pit Table: color: Gray; dimensions: 39"" DIA x 27.2"" H; feature: Contemporary<br>
- 5 Pc. Sectional Sofa w/ 2 End Tables: color: Gray or Natural; dimensions: Sofa: 64.25"" W x 29""D x 33.5"" H, End Table: 21.25"" L x 28.7"" W x 24"" H; feature: Contemporary</p>

<p>Materials: Steel, Polyrattan, Polyspun Fabric.<br>
Color: Gray<br>
Weight: 322.87 lbs</p>",GOODDEGG,,Patio Set,"2026, BARBUDA, Furniture of America, New Arrival, Outdoor, Outdoor Furniture, Patio Set, Quick Ship Furniture, LTL",true,Title,Default Title,,,,,,,,GM-1045-6PC,146451.005628004,shopify,20,deny,manual,2010,4497.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1045-6PC-1_6ea129b2-a13c-45f6-a6d7-2263551f6780.jpg?v=1773958129,1,barbuda-6-pc-conversation-set-w-fire-pit-patio-set,false,BARBUDA 6 Pc. Conversation Set w/ Fire Pit Patio Set,"Shop BARBUDA 6 Pc. Conversation Set w/ Fire Pit Patio Set. Contemporary style. Steel, Polyrattan build. Color: Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1045-6PC-1_6ea129b2-a13c-45f6-a6d7-2263551f6780.jpg?v=1773958129,lb,,1749.00,Active,322.87,64.5,"Fire Pit Table: 39""DIA X 27""H, Semi-circle Sectional: 64""W X 29""D X 33.5""H, End Table: 21""W X 28.5""D X 24""H"
barbuda-6-pc-conversation-set-w-fire-pit-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1045-6PC-WB-1_ab5596da-8357-48d9-afa8-20d22e934955.jpg?v=1773958127,2,barbuda-6-pc-conversation-set-w-fire-pit-patio-set,,,,,,,,Active,,,
bordeaux-6-pc-dining-set-w-bench-patio-set,Furniture of America - BORDEAUX 6 Pc. Dining Set w/ Bench Patio Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BORDEAUX 6 Pc. Dining Set w/ Bench brings a composed, welcoming feel to the room without overwhelming the space. This outdoor patio set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. Finished in Natural or Light Gray or Beige tones, the Aluminum, Stainless Steel, Polyspun Fabric build keeps the look polished and practical.<br>
Product Dimensions: Table: 70.5""W X 38.5""D X 29""H, Chair: 20""W X 26.5""D X 32""H, Armless Chair: 20""W X 26.5""D X 32""H, Bench: 57""W X 16""D X 18.5""H</p>

<p>Features<br>
- Natural or Light Gray or Beige<br>
- Tabletop Fire Pit with Storage Cabinet<br>
- Heat Output: 55000BTU<br>
- Propane Tank Capacity: 20 Pound<br>
- Stainless Steel Ice Chest with Cover<br>
- Hand-brushed Wood Texture<br>
- Washable Cushion Cover<br>
- UV &amp; Water-Resistant Included items and dimensions:<br>
- Side Chair (2 / CTN): color: Natural or Beige; dimensions: 20"" W x 26.5""D x 33"" H; feature: Contemporary<br>
- Bench: color: Natural or Beige; dimensions: 57"" W x 16.5""D x 18.5"" H; feature: Contemporary<br>
- Arm Chair (2 / CTN): color: Natural or Beige; dimensions: 24"" W x 26.5""D x 33"" H; feature: Contemporary</p>

<p>Materials: Aluminum, Stainless Steel, Polyspun Fabric.<br>
Color: Natural or Light Gray or Beige<br>
Weight: 307.89 lbs</p>",GOODDEGG,,Patio Set,"2026, BORDEAUX, Furniture of America, New Arrival, Outdoor, Outdoor Furniture, Patio Set, Quick Ship Furniture, LTL",true,Title,Default Title,,,,,,,,GM-2017-6PC,139657.00839167,shopify,20,deny,manual,2345,5697.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-6PC_dddc3be8-5e2c-422a-8b6f-3b9241f9e2d6.jpg?v=1773958128,1,bordeaux-6-pc-dining-set-w-bench-patio-set,false,BORDEAUX 6 Pc. Dining Set w/ Bench Patio Set,Shop BORDEAUX 6 Pc. Dining Set w/ Bench Patio Set. Color: Natural/Light Gray/Beige. Free shipping from GOODDEGG. Buy now.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-6PC_dddc3be8-5e2c-422a-8b6f-3b9241f9e2d6.jpg?v=1773958128,lb,,2099.00,Active,307.89,49.1,"Table: 70.5""W X 38.5""D X 29""H, Chair: 20""W X 26.5""D X 32""H, Armless Chair: 20""W X 26.5""D X 32""H, Bench: 57""W X 16""D X 18.5""H"
bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-WB-1_ce4b90b2-6211-40de-8816-9ffa839c1432.jpg?v=1773958128,2,bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,Active,,,
bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-2_7b09e441-297b-473c-983a-6ded83053efd.jpg?v=1773958128,3,bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,Active,,,
bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-3_7b98d300-7e93-4ebe-a58c-37f18609eae3.jpg?v=1773958128,4,bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,Active,,,
bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-4_76be2772-b038-4013-ada4-208f04fef617.jpg?v=1773958128,5,bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,Active,,,
bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-5_4fb7a0a3-e6be-4b71-bce4-76dc52947b9c.jpg?v=1773958128,6,bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,Active,,,
bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-6_45273474-c668-44f9-b0fb-d8d8cca82761.jpg?v=1773958128,7,bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,Active,,,
bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-7_522d629d-55d2-439d-85a5-5030242af1a3.jpg?v=1773958128,8,bordeaux-6-pc-dining-set-w-bench-patio-set,,,,,,,,Active,,,
breeze-swing-chair-w-stand,Furniture of America - BREEZE Swing Chair w/Stand,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with BREEZE, styled in Modern and designed for everyday comfort.<br>
This outdoor chair is made to fit naturally into the room. With Steel, Mesh, Fabric and Black or Dark Gray or Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 28""""W X 34 1/4""""D X 46""""H""<br>
Size: Varies by variant</p>

<p>Features<br>
- Steel<br>
- Mesh<br>
- Fabric<br>
- For indoor or outdoor use<br>
- Easy-store foldable design<br>
- Breathable and UV-resistant mesh<br>
- Includes back and seat cushions<br>
- Easy to assemble with included hardware kit<br>
- Max weight capacity: 220 lbs<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black | Dimensions: 28""""W X 34 1/4""""D X 46""""H"" | Weight: 71.42 lbs | Volume: 6.6 cuft</strong><br>
- <strong>Size: - | Color: Dark Gray | Dimensions: 28""""W X 34 1/4""""D X 46""""H"" | Weight: 71.42 lbs | Volume: 6.6 cuft</strong><br>
- <strong>Size: - | Color: Light Gray | Dimensions: 28""""W X 34 1/4""""D X 46""""H"" | Weight: 71.42 lbs | Volume: 6.6 cuft</strong><br>
</p>

<p>Materials: Steel, Mesh, Fabric.<br>
Color: Black or Dark Gray or Light Gray<br>
Weight: 71.42 lbs</p>",GOODDEGG,,Chair,"2026, BREEZE, Chair, Furniture of America, LIVING ROOM FURNITURE, New Arrival, Outdoor, Outdoor Furniture, Quick Ship Furniture",true,Color,Black,,,,,,,,GM-1010BK-SET,32396.02065777,shopify,20,deny,manual,305,567.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1010BK-1-Z_3846d1f0-4a4b-4827-af83-0af1b78cb2b7.jpg?v=1773958129,1,breeze-swing-chair-w-stand,false,BREEZE Swing Chair w/Stand,"Shop BREEZE Swing Chair w/Stand. Modern style. Steel, Mesh build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1010BK-1-Z_3846d1f0-4a4b-4827-af83-0af1b78cb2b7.jpg?v=1773958129,lb,,219.00,Active,71.42,6.6,"28""""W X 34 1/4""""D X 46""""H"""
breeze-swing-chair-w-stand,,,,,,,,,Dark Gray,,,,,,,,GM-1010DG-SET,32396.02065777,shopify,20,deny,manual,305,567.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1010BK-1_220d2985-acf3-43d1-be87-4d83c008a479.jpg?v=1773958129,2,breeze-swing-chair-w-stand,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1010DG-WB-1_ee7a4a7a-d03c-40e3-8dde-d4ab6dd18edc.jpg?v=1773958128,lb,,219.00,Active,71.42,6.6,"28""""W X 34 1/4""""D X 46""""H"""
breeze-swing-chair-w-stand,,,,,,,,,Light Gray,,,,,,,,GM-1010LG-SET,32396.02065777,shopify,20,deny,manual,305,567.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1010DG-WB-1_ee7a4a7a-d03c-40e3-8dde-d4ab6dd18edc.jpg?v=1773958128,3,breeze-swing-chair-w-stand,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1010LG-WB-1_f6ef8fd9-919c-4d2a-a4d1-8d14970ee166.jpg?v=1773958128,lb,,219.00,Active,71.42,6.6,"28""""W X 34 1/4""""D X 46""""H"""
breeze-swing-chair-w-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1010LG-WB-1_f6ef8fd9-919c-4d2a-a4d1-8d14970ee166.jpg?v=1773958128,4,breeze-swing-chair-w-stand,,,,,,,,Active,,,
crush-swing-chair-w-stand,Furniture of America - CRUSH Swing Chair w/Stand,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with CRUSH, styled in Modern and designed for everyday comfort.<br>
This outdoor chair is made to fit naturally into the room. With Steel, Mesh, Fabric and Black or Dark Gray or Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 28 1/4""""W X 29 1/2""""D X 43 1/4""""H""<br>
Size: Varies by variant</p>

<p>Features<br>
- Steel<br>
- Mesh<br>
- Fabric<br>
- For indoor or outdoor use<br>
- Easy-store foldable design<br>
- Breathable and UV-resistant mesh<br>
- Includes back and seat cushions<br>
- Easy to assemble with included hardware kit<br>
- Max weight capacity: 220 lbs<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black | Dimensions: 28 1/4""""W X 29 1/2""""D X 43 1/4""""H"" | Weight: 68.12 lbs | Volume: 6.8 cuft</strong><br>
- <strong>Size: - | Color: Dark Gray | Dimensions: 28 1/4""""W X 29 1/2""""D X 43 1/4""""H"" | Weight: 68.12 lbs | Volume: 6.8 cuft</strong><br>
- <strong>Size: - | Color: Light Gray | Dimensions: 28 1/4""""W X 29 1/2""""D X 43 1/4""""H"" | Weight: 68.12 lbs | Volume: 6.8 cuft</strong><br>
</p>

<p>Materials: Steel, Mesh, Fabric.<br>
Color: Black or Dark Gray or Light Gray<br>
Weight: 68.12 lbs</p>",GOODDEGG,,Chair,"2026, Chair, CRUSH, Furniture of America, LIVING ROOM FURNITURE, New Arrival, Outdoor, Outdoor Furniture, Quick Ship Furniture",true,Color,Black,,,,,,,,GM-1011BK-SET,30898.984399822,shopify,20,deny,manual,305,567.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1011BK-WB-1_211f4435-312d-4781-be60-1dd9a3189f71.jpg?v=1773958129,1,crush-swing-chair-w-stand,false,CRUSH Swing Chair w/Stand,"Shop CRUSH Swing Chair w/Stand. Modern style. Steel, Mesh build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1011BK-WB-1_211f4435-312d-4781-be60-1dd9a3189f71.jpg?v=1773958129,lb,,219.00,Active,68.12,6.8,"28 1/4""""W X 29 1/2""""D X 43 1/4""""H"""
crush-swing-chair-w-stand,,,,,,,,,Dark Gray,,,,,,,,GM-1011DG-SET,30898.984399822,shopify,20,deny,manual,305,567.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1011BK-1_56bea3ae-54de-4531-91bb-12386088c2df.jpg?v=1773958129,2,crush-swing-chair-w-stand,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1011DG-WB-1_e9a36522-7366-43e2-b580-6cb245220ee6.jpg?v=1773958129,lb,,219.00,Active,68.12,6.8,"28 1/4""""W X 29 1/2""""D X 43 1/4""""H"""
