Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Bedding size (product.metafields.shopify.bedding-size),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch),Color
goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-1-Z_549a8eb3-79b6-4941-ac90-60cb04b29618.jpg?v=1773558085,3,goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-1_4b09e21f-d7bf-4ee8-b49e-5d36251b0bfa.jpg?v=1773558085,4,goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-2_f2bdb89c-5f9b-45b1-9835-fb6c852e9b58.jpg?v=1773558085,5,goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-3_53c6865d-6fd4-4eae-8962-36597d80a998.jpg?v=1773558084,6,goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-4_57c7451e-fe1c-4e87-9309-7a2039a903e6.jpg?v=1773558084,7,goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-4-pc-queen-bedroom-set,Furniture of America - GOLDSBERG 4 Pc. Queen Bedroom Set (FM7425BK-Q-G-4PC),"<p><span style=""color: Black/Gold""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>GOLDSBERG 4 Pc. Bedroom Set completes the bedroom with a relaxed, pulled-together look. As a bedroom bedroom set, it is designed to coordinate with matching pieces. The Contemporary character adds definition without feeling heavy. Finished in Black / Gold tones, the Pinewood, Poplar, Birch, Engineered Wood build keeps the look polished and practical.<br>Product Dimensions: 85"" W x 63.5""D x 60"" H<br><strong>Size:</strong> Queen<br><br><strong>Headboard:</strong> Gold Trim VersionFeatures<br>- Black or Gold<br>- Gold-Painted Pattern<br>- Felt-Lined Top Drawer<br>- Ball-Bearing Glides<br>- French Front &amp; English Back Dovetail Drawers</p>
<p><strong>Included items and dimensions:</strong></p><p>- <strong>Nightstand</strong>: color: Black/Gold<br>- <strong>Dresser</strong>: color: Black/Gold</p>
<p><strong>Materials:</strong> Pinewood, Poplar, Birch, Engineered Wood<br><strong>Color:</strong> Black / Gold<br><strong>Weight:</strong> 542.34 lbs<br>
Volume : 69.7 CUFT</p><br>SKU : FM7425BK-Q-G-4PC",Furniture of America,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"2026, Bedroom, BEDROOM FURNITURE, Bedroom Set, Furniture of America, GOLDSBERG, Indoor Furniture, New Arrival, Quick Ship Furniture, LTL",TRUE,Headboard,Gold Trim Version,,,,,,,,FM7425BK-Q-G-4PC,246001.0138,shopify,deny,manual,4130,4137,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-G-1-Z_572a68cd-c0ea-4b1a-a69e-008c9e3e17b1.jpg?v=1773558087,1,goldsberg-4-pc-queen-bedroom-set,FALSE,GOLDSBERG 4 Pc. Queen Bedroom Set | GOODDEGG,The GOLDSBERG Bedroom creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-G-1-Z_572a68cd-c0ea-4b1a-a69e-008c9e3e17b1.jpg?v=1773558087,lb,,1659,Active,542.34,69.7,"85""W X 63.5""D X 60""H",Black/Gold
goldsberg-4-pc-queen-bedroom-set,,,,,,,,,Solid Panel version,,,,,,,,FM7425BK-Q-P-4PC,246001.0138,shopify,deny,manual,3950,3957,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-D-WB-1_284bf43c-b455-49f9-8405-18686c26f6cd.jpg?v=1773558087,2,goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-1-Z_7aacb7fb-c8b2-4267-9b6a-acc70f14bf1b.jpg?v=1773558087,lb,,1599,Active,542.34,68.7,"85""W X 63.5""D X 60""H",Black/Gold
goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-1-Z_7aacb7fb-c8b2-4267-9b6a-acc70f14bf1b.jpg?v=1773558087,3,goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-1_9bb88edb-34b3-4773-b957-66bebc3d98fa.jpg?v=1773558086,4,goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-2_48303f11-0292-4a26-be98-70510317efe8.jpg?v=1773558087,5,goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-3_c8230e4d-c92e-4618-97c6-6b762ee29d00.jpg?v=1773558087,6,goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-4_d4351c9f-3118-43e1-9c68-11fd0a789079.jpg?v=1773558087,7,goldsberg-4-pc-queen-bedroom-set,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,Furniture of America - CASSIOPEIA 5 Pc. Queen Bedroom Set w/ Chest (FM7253GY-Q-5PC-CHEST),"<p><span style=""color: Metallic Gray""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>Create a calm, coordinated retreat with CASSIOPEIA 5 Pc. Bedroom Set w/Chest. Designed as a bedroom bedroom set, it pairs easily with surrounding decor. Its Glam styling keeps the room feeling polished yet comfortable. Finished in Metallic Gray tones, the Engineered Wood, Solid Teak, Rubberwood, Laminate build keeps the look polished and practical.<br>Product Dimensions: 63"" W x 85.5""D x 64"" H<br><strong>Size:</strong> Queen<br><br><strong>Headboard:</strong> Curved topFeatures<br>- 7-Ray Headboard<br>- Felt-Lined Top Drawer<br>- Metal Side Glide<br>- Metal Handles<br>- Metallic Scale Molding Trim<br>- Mattress Ready</p>
<p><strong>Included items and dimensions:</strong></p><p>- <strong>Nightstand</strong>: color: Metallic Gray<br>- <strong>Dresser</strong>: color: Metallic Gray<br>- <strong>Chest</strong>: color: Metallic Gray</p>
<p><strong>Materials:</strong> Engineered Wood, Solid Teak, Rubberwood, Laminate<br><strong>Color:</strong> Metallic Gray<br><strong>Weight:</strong> 765.57 lbs<br>
Volume : 87.8 CUFT</p><br>SKU : FM7253GY-Q-5PC-CHEST",Furniture of America,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"2026, Bedroom, BEDROOM FURNITURE, Bedroom Set, CASSIOPEIA, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, LTL",TRUE,Headboard,Curved top,,,,,,,,FM7253GY-Q-5PC-CHEST,347256.9829,shopify,deny,manual,4575,4584,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-1-Z_f922ec0d-de39-42ea-a9a5-89bc8b9eec30.jpg?v=1773558088,1,cassiopeia-5-pc-queen-bedroom-set-with-chest,FALSE,CASSIOPEIA 5 Pc. Queen Bedroom Set w/ Chest | GOODDEGG,The CASSIOPEIA Bedroom w/ Chest creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-1-Z_f922ec0d-de39-42ea-a9a5-89bc8b9eec30.jpg?v=1773558088,lb,,1818,Active,765.57,87.8,"63""W X 85.5""D X 64""H",Metallic Gray
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,Straight top,,,,,,,,FM7254GY-Q-5PC-CHEST,336587.9914,shopify,deny,manual,4605,4614,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-2_1d69afa3-fe46-4f19-aac5-61b8801dd8b7.jpg?v=1773558088,2,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-1-Z_5808850f-00f8-4da0-958c-805374d6d579.jpg?v=1773558088,lb,,1858,Active,742.05,88.3,"64""W X 85.5""D X 59""H",Metallic Gray
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-4_5bc55640-7c48-4cfd-96f2-25cdcb07144c.jpg?v=1773558089,3,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-D-2_ae4754d3-14d0-4fd7-be92-6eeccfe4da71.jpg?v=1773558089,4,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-D-3_7d486097-6c7e-4f68-9e9a-8edd1ded4232.jpg?v=1773558088,5,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-N-2_01b30822-69d2-45b5-b351-7f8e65263775.jpg?v=1773558089,6,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-1-Z_5808850f-00f8-4da0-958c-805374d6d579.jpg?v=1773558088,7,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-2_93fa0a41-4788-4919-968e-ac8220f1524c.jpg?v=1773558089,8,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-3_c6684697-6763-4c4f-a5a0-2dd5083d128e.jpg?v=1773558089,9,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-M-2_2b3b7f03-cb20-44da-9df7-daab7aaed7f7.jpg?v=1773558088,10,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-M-2_8fa510d8-9ff4-4e10-ba7d-53fb6709f0cf.jpg?v=1773558089,11,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-D-1_32d5e2e8-48e0-4b6f-ac6e-f9f9ea8d3df4.jpg?v=1773558088,12,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-D-2_2a572801-032d-4488-93b4-88843d19a2c6.jpg?v=1773558089,13,cassiopeia-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
cassiopeia-5-pc-queen-bedroom-set-with-2ns,Furniture of America - CASSIOPEIA 5 Pc. Queen Bedroom Set w/ 2NS (FM7253GY-Q-5PC-2NS),"<p><span style=""color: Metallic Gray""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>CASSIOPEIA 5 Pc. Bedroom Set w/2NS completes the bedroom with a relaxed, pulled-together look. As a bedroom bedroom set, it is designed to coordinate with matching pieces. The Glam character adds definition without feeling heavy. Crafted with Engineered Wood, Solid Teak, Rubberwood, Laminate, then finished in Metallic Gray tones to suit a range of interiors.<br>Product Dimensions: 63"" W x 85.5""D x 64"" H<br><strong>Size:</strong> Queen<br><br><strong>Headboard:</strong> Curved topFeatures<br>- 7-Ray Headboard<br>- Felt-Lined Top Drawer<br>- Metal Side Glide<br>- Metal Handles<br>- Metallic Scale Molding Trim<br>- Mattress Ready</p>
<p><strong>Included items and dimensions:</strong></p><p>- <strong>Nightstand</strong>: color: Metallic Gray<br>- <strong>Dresser</strong>: color: Metallic Gray</p>
<p><strong>Materials:</strong> Engineered Wood, Solid Teak, Rubberwood, Laminate<br><strong>Color:</strong> Metallic Gray<br><strong>Weight:</strong> 635.97 lbs<br>
Volume : 71.8 CUFT</p><br>SKU : FM7253GY-Q-5PC-2NS",Furniture of America,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"2026, Bedroom, BEDROOM FURNITURE, Bedroom Set, CASSIOPEIA, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, LTL",TRUE,Headboard,Curved top,,,,,,,,FM7253GY-Q-5PC-2NS,288471.0035,shopify,deny,manual,3950,3957,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-1-Z_000a084f-68bb-45a8-a92c-99c4bbd7c351.jpg?v=1773558091,1,cassiopeia-5-pc-queen-bedroom-set-with-2ns,FALSE,CASSIOPEIA 5 Pc. Queen Bedroom Set w/ 2NS | GOODDEGG,The CASSIOPEIA Bedroom w/ 2NS creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-1-Z_000a084f-68bb-45a8-a92c-99c4bbd7c351.jpg?v=1773558091,lb,,1549,Active,635.97,71.8,"63""W X 85.5""D X 64""H",Metallic Gray
