Handle,Title,Body (HTML),Product Category,Type,Tags,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alena-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-2_39efdb2d-fd9d-4b18-8811-d1342acd787a.jpg?v=1771832796,2,ALENA Dining Table,,,,,,,,
alena-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-3_f35d9db2-18c2-4d09-b556-86d7e79363d8.jpg?v=1771832795,3,ALENA Dining Table,,,,,,,,
alena-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-4_b1b6d9b4-ef1b-4aef-93d8-420d2f560c95.jpg?v=1771832795,4,ALENA Dining Table,,,,,,,,
aleksa-foundation,ALEKSA Foundation,"<p>FREE SHIPPING<br>
ALEKSA Foundation offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Finished in Gray tones for a clean, cohesive look.<br>
Product Dimensions: 84"" L x 72"" W x 7"" H<br>
Size: California King<br>
Color:Gray<br>
Weight: 70 lbs</p>",,Mattress,"ALEKSA, Foundation, Furniture of America, Indoor Furniture, Mattress, New Arrival, Quick Ship Furniture",Size,Cal.King,,,,,,,,DM335CK-F,31751.01231,shopify,0,deny,manual,480,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/DM335-F-Z_ec063375-d036-445e-b9c8-5c8d3c454231.jpg?v=1771832538,1,ALEKSA Foundation,FALSE,ALEKSA Foundation California King in Gray | GOODDEGG,The ALEKSA Foundation brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,219,active
aleksa-foundation,,,,,,,E.King,,,,,,,,DM335EK-F,31751.01231,shopify,0,deny,manual,480,,TRUE,FALSE,,,,,,,,,,,,,lb,,219,
aleksa-foundation,,,,,,,Full,,,,,,,,DM335F-F,20412.01952,shopify,0,deny,manual,297,,TRUE,FALSE,,,,,,,,,,,,,lb,,139,
aleksa-foundation,,,,,,,Queen,,,,,,,,DM335Q-F,22679.98137,shopify,0,deny,manual,357,,TRUE,FALSE,,,,,,,,,,,,,lb,,159,
aleksa-11-euro-top-mattress,"ALEKSA 11"" Euro Top Mattress","<p>FREE SHIPPING<br>
Sleep easy with ALEKSA 11"" Euro Top Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in White  or  Gray tones for a clean, cohesive look.<br>
Product Dimensions: 84"" L x 72"" W x 11"" H<br>
Size: California King<br>
Features<br>
- Supportive coil system for steady alignment<br>
Color:White / Gray<br>
Weight: 85 lbs</p>",,Mattress,"ALEKSA, Furniture of America, Indoor Furniture, Mattress, New Arrival, Quick Ship Furniture",Size,Cal.King,,,,,,,,DM335CK-M,38554.98858,shopify,0,deny,manual,927,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/DM335-Z_a455df68-87f7-4e7e-99ea-3d2b52b48408.jpg?v=1771831750,1,"ALEKSA 11"" Euro Top Mattress",FALSE,"ALEKSA 11"" Euro Top Mattress California King | GOODDEGG","The ALEKSA Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,lb,,399,active
aleksa-11-euro-top-mattress,,,,,,,E.King,,,,,,,,DM335EK-M,38554.98858,shopify,0,deny,manual,927,,TRUE,FALSE,,,,,,,,,,,,,lb,,399,
aleksa-11-euro-top-mattress,,,,,,,Full,,,,,,,,DM335F-M,24947.98858,shopify,0,deny,manual,627,,TRUE,FALSE,,,,,,,,,,,,,lb,,269,
aleksa-11-euro-top-mattress,,,,,,,Queen,,,,,,,,DM335Q-M,29483.0051,shopify,0,deny,manual,747,,TRUE,FALSE,,,,,,,,,,,,,lb,,319,
alecia-nightstand-w-usb-youth,ALECIA Nightstand w/ USB Youth,"<p>FREE SHIPPING<br>
Elevate your space with ALECIA Nightstand w/ USB, styled in Transitional and designed for everyday comfort. This youth night stand is made to fit naturally into the room. With Solid Wood, Others and White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 24"" W x 16""D x 24"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-lined Top Drawer<br>
USB Charger behind Night Stand</p>

<p>Materials:Solid Wood<br>
Color:White<br>
Weight: 44 lbs</p>",,Youth,"ALECIA, Furniture of America, Indoor Furniture, New Arrival, Night Stand, Quick Ship Furniture, Youth",Title,Default Title,,,,,,,,CM7458WH-N,19958.01892,shopify,0,deny,manual,390,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-N-1_3b46ee6b-f314-44df-a58a-b36550ce27a8.jpg?v=1771830709,1,ALECIA Nightstand w/ USB Youth,FALSE,ALECIA Nightstand w/ USB in White | GOODDEGG,The ALECIA Nightstand w/ USB brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,150,active
alecia-nightstand-w-usb-youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-1-Z_276c86b4-e242-4a31-80d6-fac7f27c0d02.jpg?v=1771830709,2,ALECIA Nightstand w/ USB Youth,,,,,,,,
alecia-nightstand-w-usb-youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-N-2_ae9d107b-d9cc-43a0-9426-a8ae2bdecf9f.jpg?v=1771830710,3,ALECIA Nightstand w/ USB Youth,,,,,,,,
alecia-nightstand-w-usb-youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-5_ca334e2a-28cc-47f7-8df6-b1238be3d693.jpg?v=1771830710,4,ALECIA Nightstand w/ USB Youth,,,,,,,,
alecia-bed,ALECIA Bed,"<p>FREE SHIPPING<br>
Make the room feel complete with ALECIA Bed and its Transitional character. Built as a youth bed, it pairs well with a wide range of interiors. Finished in White tones, the Solid Wood, Others build balances durability with visual appeal.<br>
Product Dimensions: 80 1 or 2"" L x 58 5 or 8"" W x 54"" H<br>
Size: Full<br>
Features<br>
- Made with solid wood &amp; wood veneer<br>
- Foundation required</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-lined Top Drawer</p>

<p>Materials:Solid Wood<br>
Color:White<br>
Weight: 107.8 lbs</p>",,Youth,"ALECIA, Bed, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",Size,Full,,,,,,,,CM7458WH-F-BED,48896.98533,shopify,20,deny,manual,957,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-1-Z_62da1584-55eb-4841-a9c9-942f92da6881.jpg?v=1771829956,1,ALECIA Bed,FALSE,Alecia Bed Full in White | GOODDEGG,The ALECIA Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,349,active
alecia-dresser,ALECIA Dresser,"<p>FREE SHIPPING<br>
ALECIA Dresser adds a Transitional touch while keeping the room feeling warm and welcoming. This youth dresser is made to fit naturally into the room. Crafted from Solid Wood, Others, it is finished in White tones that pair easily with surrounding decor.<br>
Product Dimensions: 54"" W x 17""D x 34"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-lined Top Drawer</p>

<p>Materials:Solid Wood<br>
Color:White<br>
Weight: 140.8 lbs</p>",,Youth,"ALECIA, Dresser, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",Title,Default Title,,,,,,,,CM7458WH-D,63865.98713,shopify,0,deny,manual,900,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-D-1_32f06f64-2b66-47c2-b642-d8e08e555168.jpg?v=1771827650,1,ALECIA Dresser,FALSE,ALECIA Dresser in White | GOODDEGG,The ALECIA Dresser adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,360,active
alecia-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-1-Z_f110ecc4-a99d-4d58-8dbc-7657f3b05e5f.jpg?v=1771827650,2,ALECIA Dresser,,,,,,,,
alecia-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-4_0a192b03-6cac-4339-b30b-9b88ef40b0c5.jpg?v=1771827650,3,ALECIA Dresser,,,,,,,,
alecia-chest,ALECIA Chest,"<p>FREE SHIPPING<br>
Elevate your space with ALECIA Chest, styled in Transitional and designed for everyday comfort. As a youth chest, it is designed to complement your space. With Solid Wood, Others and White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 34"" W x 17""D x 48"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-lined Top Drawer</p>

<p>Materials:Solid Wood<br>
Color:White<br>
Weight: 132 lbs</p>",,Youth,"ALECIA, Chest, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",Title,Default Title,,,,,,,,CM7458WH-C,59874.0114,shopify,20,deny,manual,807,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-C-1_87bb1817-507e-4426-8f82-ff9cfad8e01e.jpg?v=1771827649,1,ALECIA Chest,FALSE,ALECIA Chest in White | GOODDEGG,The ALECIA Chest adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,319,active
alecia-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7458WH-1-Z_bf40a252-c1f4-42de-be02-0c79835e25b6.jpg?v=1771827649,2,ALECIA Chest,,,,,,,,
aldridge-nightstand,ALDRIDGE Nightstand,"<p>FREE SHIPPING<br>
Make the room feel complete with ALDRIDGE Nightstand and its Contemporary character. This bedroom nightstand is made to fit naturally into the room. Finished in Light Gray tones, the Solid Rubberwood, Engineered Wood, Other build balances durability with visual appeal.<br>
Product Dimensions: 28.5"" W x 15.5""D x 23"" H</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-Lined Top Drawer<br>
French Front &amp; English Back Dovetail Drawers</p>

<p>Materials:Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 85.8 lbs</p>",,Bedroom,"ALDRIDGE, Bedroom, Furniture of America, Indoor Furniture, New Arrival, Nightstand, Quick Ship Furniture",Title,Default Title,,,,,,,,FM7243GY-N,38917.99855,shopify,0,deny,manual,570,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-N-1_636edbb5-7d00-403f-b4a9-c4ad8920668e.jpg?v=1771827649,1,ALDRIDGE Nightstand,FALSE,ALDRIDGE Nightstand in Light Gray | GOODDEGG,The ALDRIDGE Nightstand keeps bedside essentials organized and within reach. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,220,active
aldridge-nightstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-1-Z_0bb61917-2ca2-4e40-b82d-cfbef877b118.jpg?v=1771827648,2,ALDRIDGE Nightstand,,,,,,,,
aldridge-nightstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-leg_0c0e27c0-afa7-4350-96cc-afa2a812f52f.jpg?v=1771827648,3,ALDRIDGE Nightstand,,,,,,,,
aldridge-bed,ALDRIDGE Bed,"<p>FREE SHIPPING<br>
Elevate your space with ALDRIDGE Bed, styled in Contemporary and designed for everyday comfort. Built as a bedroom bed, it pairs well with a wide range of interiors. With Fabric, Solid Rubberwood, Engineered Wood, Other and Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 79"" W x 92""D x 61.5"" H<br>
Size: Eastern King<br>
Features<br>
- Foundation required</p>

<p>Materials:Fabric, Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 229.2 lbs</p>",,Bedroom,"ALDRIDGE, Bed, Bedroom, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Size,E.King,,,,,,,,FM7243GY-EK-BED,103963.0083,shopify,20,deny,manual,1587,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-1-Z_dfa1d0ea-770c-47be-961e-cde63b65eef6.jpg?v=1771827647,1,ALDRIDGE Bed,FALSE,Aldridge Bed Eastern King in Light Gray | GOODDEGG,The ALDRIDGE Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,599,active
