Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
aleksa-11-euro-top-mattress-white-gray,"ALEKSA 11"" Euro Top Mattress","FREE SHIPPING
Sleep easy with ALEKSA 11"" Euro Top Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in White or Gray tones for a clean, cohesive look.
Product Dimensions: 80""L X 60""W X 11""H
Size: Queen
Features
- Supportive coil system for steady alignment
Color: White or Gray
Weight: 65 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ALEKSA",TRUE,Color,White/Gray,Size,Queen,,,DM335Q-M,29484,shopify,20,deny,manual,319,747,TRUE,FALSE,,,,"ALEKSA 11"" Euro Top Mattress",FALSE,"ALEKSA 11"" Euro Top Mattress Queen in White Gray | GOODDEGG","The ALEKSA Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM335Q-M,new,TRUE,,g,,319,,,,,,,active
aleksa-foundation-gray,ALEKSA Foundation,"FREE SHIPPING
ALEKSA Foundation offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Finished in Gray tones for a clean, cohesive look.
Product Dimensions: 84""L X 72""W X 7""H
Size: California King
Color: Gray
Weight: 70 lbs",Furniture of America,,Foundation,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Foundation, ALEKSA",TRUE,Color,Gray,Size,Cal.King,,,DM335CK-F,31751,shopify,20,deny,manual,219,480,TRUE,FALSE,,,,ALEKSA Foundation,FALSE,ALEKSA Foundation California King in Gray | GOODDEGG,The ALEKSA Foundation brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,DM335CK-F,new,TRUE,,g,,219,,,,,,,active
aleksa-foundation-gray,ALEKSA Foundation,"FREE SHIPPING
ALEKSA Foundation is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Finished in Gray tones for a clean, cohesive look.
Product Dimensions: 80""L X 76""W X 7""H
Size: Eastern King
Color: Gray
Weight: 70 lbs",Furniture of America,,Foundation,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Foundation, ALEKSA",TRUE,Color,Gray,Size,E.King,,,DM335EK-F,31751,shopify,20,deny,manual,219,480,TRUE,FALSE,,,,ALEKSA Foundation,FALSE,ALEKSA Foundation Eastern King in Gray | GOODDEGG,The ALEKSA Foundation brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,DM335EK-F,new,TRUE,,g,,219,,,,,,,active
aleksa-foundation-gray,ALEKSA Foundation,"FREE SHIPPING
Sleep easy with ALEKSA Foundation, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in Gray tones for a clean, cohesive look.
Product Dimensions: 75""L X 54""W X 7""H
Size: Full
Color: Gray
Weight: 45 lbs",Furniture of America,,Foundation,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Foundation, ALEKSA",TRUE,Color,Gray,Size,Full,,,DM335F-F,20412,shopify,20,deny,manual,139,297,TRUE,FALSE,,,,ALEKSA Foundation,FALSE,ALEKSA Foundation Full in Gray | GOODDEGG,The ALEKSA Foundation brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,DM335F-F,new,TRUE,,g,,139,,,,,,,active
aleksa-foundation-gray,ALEKSA Foundation,"FREE SHIPPING
ALEKSA Foundation offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Finished in Gray tones for a clean, cohesive look.
Product Dimensions: 80""L X 60""W X 7""H
Size: Queen
Color: Gray
Weight: 50 lbs",Furniture of America,,Foundation,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Foundation, ALEKSA",TRUE,Color,Gray,Size,Queen,,,DM335Q-F,22680,shopify,20,deny,manual,159,357,TRUE,FALSE,,,,ALEKSA Foundation,FALSE,ALEKSA Foundation Queen in Gray | GOODDEGG,The ALEKSA Foundation brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,DM335Q-F,new,TRUE,,g,,159,,,,,,,active
artemisia-10-memory-foam-mattress-white,"ARTEMISIA 10"" Memory Foam Mattress","FREE SHIPPING
Sleep easy with ARTEMISIA 10"" Memory Foam Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Top and Side Cover: 100% Polyester construction keeps you comfortable, finished in White tones.
Product Dimensions: 76""W X 80""D X 10""H
Size: Eastern King
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 75.46 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,E.King,,,DM530-EK,34228,shopify,20,deny,manual,209,627,TRUE,FALSE,,,,"ARTEMISIA 10"" Memory Foam Mattress",FALSE,"ARTEMISIA 10"" Memory Foam Mattress | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM530-EK,new,TRUE,,g,,209,,,,,,,active
artemisia-10-memory-foam-mattress-white,"ARTEMISIA 10"" Memory Foam Mattress","FREE SHIPPING
ARTEMISIA 10"" Memory Foam Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Top and Side Cover: 100% Polyester, it is finished in White tones and made for lasting comfort.
Product Dimensions: 54""W X 75""D X 10""H
Size: Full
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 52.14 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Full,,,DM530-F,23650,shopify,20,deny,manual,159,477,TRUE,FALSE,,,,"ARTEMISIA 10"" Memory Foam Mattress",FALSE,"ARTEMISIA 10"" Memory Foam Mattress Full | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM530-F,new,TRUE,,g,,159,,,,,,,active
artemisia-10-memory-foam-mattress-white,"ARTEMISIA 10"" Memory Foam Mattress","FREE SHIPPING
ARTEMISIA 10"" Memory Foam Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Top and Side Cover: 100% Polyester, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 60""W X 80""D X 10""H
Size: Queen
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 61.6 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Queen,,,DM530-Q,27941,shopify,20,deny,manual,179,537,TRUE,FALSE,,,,"ARTEMISIA 10"" Memory Foam Mattress",FALSE,"ARTEMISIA 10"" Memory Foam Mattress Queen | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM530-Q,new,TRUE,,g,,179,,,,,,,active
artemisia-10-memory-foam-mattress-white,"ARTEMISIA 10"" Memory Foam Mattress","FREE SHIPPING
Sleep easy with ARTEMISIA 10"" Memory Foam Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Top and Side Cover: 100% Polyester construction keeps you comfortable, finished in White tones.
Product Dimensions: 39""W X 75""D X 10""H
Size: Twin
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 39.6 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Twin,,,DM530-T,17962,shopify,20,deny,manual,129,387,TRUE,FALSE,,,,"ARTEMISIA 10"" Memory Foam Mattress",FALSE,"ARTEMISIA 10"" Memory Foam Mattress Twin | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM530-T,new,TRUE,,g,,129,,,,,,,active
artemisia-10-memory-foam-mattress-white,"ARTEMISIA 10"" Memory Foam Mattress","FREE SHIPPING
ARTEMISIA 10"" Memory Foam Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Top and Side Cover: 100% Polyester, it is finished in White tones and made for lasting comfort.
Product Dimensions: 38""W X 80""D X 10""H
Size: Twin XL
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Twin XL,,,DM530-TXL,,shopify,20,deny,manual,139,417,TRUE,FALSE,,,,"ARTEMISIA 10"" Memory Foam Mattress",FALSE,"ARTEMISIA 10"" Memory Foam Mattress Twin XL | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM530-TXL,new,TRUE,,g,,139,,,,,,,active
artemisia-12-memory-foam-mattress-white,"ARTEMISIA 12"" Memory Foam Mattress","FREE SHIPPING
ARTEMISIA 12"" Memory Foam Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Top and Side Cover: 100% Polyester, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 76""W X 80""D X 12""H
Size: Eastern King
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 84.39 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,E.King,,,DM540-EK,38279,shopify,20,deny,manual,289,867,TRUE,FALSE,,,,"ARTEMISIA 12"" Memory Foam Mattress",FALSE,"ARTEMISIA 12"" Memory Foam Mattress | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM540-EK,new,TRUE,,g,,289,,,,,,,active
artemisia-12-memory-foam-mattress-white,"ARTEMISIA 12"" Memory Foam Mattress","FREE SHIPPING
Sleep easy with ARTEMISIA 12"" Memory Foam Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Top and Side Cover: 100% Polyester construction keeps you comfortable, finished in White tones.
Product Dimensions: 39""W X 75""D X 12""H
Size: Full
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 59.84 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Full,,,DM540-F,27143,shopify,20,deny,manual,189,567,TRUE,FALSE,,,,"ARTEMISIA 12"" Memory Foam Mattress",FALSE,"ARTEMISIA 12"" Memory Foam Mattress Full | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM540-F,new,TRUE,,g,,189,,,,,,,active
artemisia-12-memory-foam-mattress-white,"ARTEMISIA 12"" Memory Foam Mattress","FREE SHIPPING
ARTEMISIA 12"" Memory Foam Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Top and Side Cover: 100% Polyester, it is finished in White tones and made for lasting comfort.
Product Dimensions: 60""W X 80""D X 12""H
Size: Queen
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 70.84 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Queen,,,DM540-Q,32132,shopify,20,deny,manual,209,627,TRUE,FALSE,,,,"ARTEMISIA 12"" Memory Foam Mattress",FALSE,"ARTEMISIA 12"" Memory Foam Mattress Queen | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM540-Q,new,TRUE,,g,,209,,,,,,,active
artemisia-12-memory-foam-mattress-white,"ARTEMISIA 12"" Memory Foam Mattress","FREE SHIPPING
ARTEMISIA 12"" Memory Foam Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Top and Side Cover: 100% Polyester, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 39""W X 75""D X 12""H
Size: Twin
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 44.66 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Twin,,,DM540-T,20257,shopify,20,deny,manual,139,417,TRUE,FALSE,,,,"ARTEMISIA 12"" Memory Foam Mattress",FALSE,"ARTEMISIA 12"" Memory Foam Mattress Twin | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM540-T,new,TRUE,,g,,139,,,,,,,active
artemisia-12-memory-foam-mattress-white,"ARTEMISIA 12"" Memory Foam Mattress","FREE SHIPPING
Sleep easy with ARTEMISIA 12"" Memory Foam Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Top and Side Cover: 100% Polyester construction keeps you comfortable, finished in White tones.
Product Dimensions: 38""W X 80""D X 12""H
Size: Twin XL
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Twin XL,,,DM540-TXL,,shopify,20,deny,manual,149,447,TRUE,FALSE,,,,"ARTEMISIA 12"" Memory Foam Mattress",FALSE,"ARTEMISIA 12"" Memory Foam Mattress Twin XL | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM540-TXL,new,TRUE,,g,,149,,,,,,,active
artemisia-6-memory-foam-mattress-white,"ARTEMISIA 6"" Memory Foam Mattress","FREE SHIPPING
ARTEMISIA 6"" Memory Foam Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Top and Side Cover: 100% Polyester, it is finished in White tones and made for lasting comfort.
Product Dimensions: 54""W X 75""D X 6""H
Size: Full
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Top and Side Cover: 100% Polyester.
Color: White
Weight: 34.91 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ARTEMISIA",TRUE,Color,White,Size,Full,,,DM510-F,15835,shopify,20,deny,manual,99,297,TRUE,FALSE,,,,"ARTEMISIA 6"" Memory Foam Mattress",FALSE,"ARTEMISIA 6"" Memory Foam Mattress Full | GOODDEGG","ARTEMISIA Memory Foam Mattress supports deeper, more comfortable sleep. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM510-F,new,TRUE,,g,,99,,,,,,,active
