Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
abbey-4-9-x-6-9-area-rug,"ABBEY 4' 9"" X 6' 9"" Area Rug","FREE SHIPPING
Elevate your space with ABBEY 4' 9"" X 6' 9"" Area Rug, styled in Contemporary and designed for everyday comfort. Built as a accent rug, it pairs well with a wide range of interiors. With Nylon and Solar System tones, it blends structure and softness in one clean profile.
Product Dimensions: 5' x 7'

Materials: Nylon
Color: Solar System
Weight: 9 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Solar System,,,,,RG5212,4082,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,"ABBEY 4' 9"" X 6' 9"" Area Rug in Solar System | GOODDEGG",The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5212,new,FALSE,,g,,39,,,,,,,active
abbey-5-x-8-area-rug,ABBEY 5' X 8' Area Rug,"FREE SHIPPING
ABBEY 5' X 8' Area Rug adds a Contemporary touch while keeping the room feeling warm and welcoming. As a accent rug, it is designed to complement your space. Crafted from Nylon, it is finished in Red tones that pair easily with surrounding decor.
Product Dimensions: 5' x 8'

Materials: Nylon
Color: Red
Weight: 10 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Red,,,,,RG5110,4536,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,ABBEY 5' X 8' Area Rug in Red | GOODDEGG,The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5110,new,FALSE,,g,,39,,,,,,,active
abbey-5-x-8-area-rug,ABBEY 5' X 8' Area Rug,"FREE SHIPPING
Make the room feel complete with ABBEY 5' X 8' Area Rug and its Contemporary character. This accent rug is made to fit naturally into the room. Finished in Multi tones, the Nylon build balances durability with visual appeal.
Product Dimensions: 5' x 8'

Materials: Nylon
Color: Multi
Weight: 10 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Multi,,,,,RG5112,4536,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,ABBEY 5' X 8' Area Rug in Multi | GOODDEGG,The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5112,new,FALSE,,g,,39,,,,,,,active
abbey-5-x-8-area-rug,ABBEY 5' X 8' Area Rug,"FREE SHIPPING
ABBEY 5' X 8' Area Rug brings a Contemporary look to your home with a refined, comfortable feel. Built as a accent rug, it pairs well with a wide range of interiors. The Nylon construction is complemented by Multi tones for a polished look.
Product Dimensions: 5' x 8'

Materials: Nylon
Color: Multi
Weight: 10 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Multi,,,,,RG5113,4536,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,ABBEY 5' X 8' Area Rug in Multi | GOODDEGG,The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5113,new,FALSE,,g,,39,,,,,,,active
abbey-5-x-8-area-rug,ABBEY 5' X 8' Area Rug,"FREE SHIPPING
Elevate your space with ABBEY 5' X 8' Area Rug, styled in Contemporary and designed for everyday comfort. As a accent rug, it is designed to complement your space. With Nylon and Us Map tones, it blends structure and softness in one clean profile.
Product Dimensions: 5' x 8'

Materials: Nylon
Color: Us Map
Weight: 10 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Us Map,,,,,RG5114,4536,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,ABBEY 5' X 8' Area Rug in Us Map | GOODDEGG,The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5114,new,FALSE,,g,,39,,,,,,,active
abbi-table-lamp,ABBI Table Lamp,"FREE SHIPPING
ABBI Table Lamp adds a Contemporary touch while keeping the room feeling warm and welcoming. This accent lighting is made to fit naturally into the room. Crafted from Fabric, Glass, Metal, Others, it is finished in Black tones that pair easily with surrounding decor.
Product Dimensions: 16"" L x 9"" W x 27 1 or 4"" H

Bonus storage & convenience features (from matching set pieces):

USB Port

Materials: Fabric, Glass, Metal, Others
Color: Black
Weight: 13.76 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Lighting, ABBI",TRUE,Color,Black,,,,,L76389BK,6241,shopify,20,deny,manual,99,267,TRUE,FALSE,,,,,FALSE,ABBI Table Lamp in Black | GOODDEGG,The ABBI Table Lamp brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,L76389BK,new,FALSE,,g,,99,,,,,,,active
abbi-table-lamp,ABBI Table Lamp,"FREE SHIPPING
Make the room feel complete with ABBI Table Lamp and its Contemporary character. Built as a accent lighting, it pairs well with a wide range of interiors. Finished in Chrome tones, the Fabric, Glass, Metal, Others build balances durability with visual appeal.
Product Dimensions: 16"" L x 9"" W x 27 1 or 4"" H

Bonus storage & convenience features (from matching set pieces):

USB Port

Materials: Fabric, Glass, Metal, Others
Color: Chrome
Weight: 13.76 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Lighting, ABBI",TRUE,Color,Chrome,,,,,L76389CR,6241,shopify,20,deny,manual,99,267,TRUE,FALSE,,,,,FALSE,ABBI Table Lamp in Chrome | GOODDEGG,The ABBI Table Lamp brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,L76389CR,new,FALSE,,g,,99,,,,,,,active
aberporth-chair,ABERPORTH Chair,"FREE SHIPPING
ABERPORTH Chair brings a Transitional look to your home with a refined, comfortable feel. As a upholstery chair, it is designed to complement your space. The Linen-like, Solid Wood, Others construction is complemented by Multi tones for a polished look.
Product Dimensions: 46"" L x 43"" W x 39"" H (SEAT HT: 18"", SEAT DP: 21"")
Features
- Made with solid wood & wood veneer

Materials: Linen-like, Solid Wood, Others
Color: Multi
Weight: 86 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Chair, ABERPORTH",TRUE,Color,Multi,,,,,SM5406-CH,39009,shopify,20,deny,manual,351,1053,TRUE,FALSE,,,,,FALSE,Aberporth Chair in Multi | GOODDEGG,The ABERPORTH Chair adds comfortable seating and style to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,SM5406-CH,new,FALSE,,g,,351,,,,,,,active
aberporth-loveseat,ABERPORTH Loveseat,"FREE SHIPPING
Elevate your space with ABERPORTH Loveseat, styled in Transitional and designed for everyday comfort. This upholstery loveseat is made to fit naturally into the room. With Linen-like, Solid Wood, Others and Gray tones, it blends structure and softness in one clean profile.
Product Dimensions: 64"" L x 37"" W x 38"" H (SEAT HT: 18"", SEAT DP: 21"")
Features
- Made with solid wood & wood veneer

Materials: Linen-like, Solid Wood, Others
Color: Gray
Weight: 103 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Loveseat, ABERPORTH",TRUE,Color,Gray,,,,,SM5406-LV,46720,shopify,20,deny,manual,480,1440,TRUE,FALSE,,,,,FALSE,ABERPORTH Loveseat in Gray | GOODDEGG,The ABERPORTH Loveseat offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,SM5406-LV,new,FALSE,,g,,480,,,,,,,active
aberporth-sofa,ABERPORTH Sofa,"FREE SHIPPING
ABERPORTH Sofa adds a Transitional touch while keeping the room feeling warm and welcoming. Built as a upholstery sofa, it pairs well with a wide range of interiors. Crafted from Linen-like, Solid Wood, Others, it is finished in Gray tones that pair easily with surrounding decor.
Product Dimensions: 87"" L x 37"" W x 38"" H (SEAT HT: 18"", SEAT DP: 21"")
Features
- Made with solid wood & wood veneer

Materials: Linen-like, Solid Wood, Others
Color: Gray
Weight: 131 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Sofa, ABERPORTH",TRUE,Color,Gray,,,,,SM5406-SF,59421,shopify,20,deny,manual,519,1557,TRUE,FALSE,,,,,FALSE,Aberporth Sofa in Gray | GOODDEGG,The ABERPORTH Sofa offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,SM5406-SF,new,FALSE,,g,,519,,,,,,,active
acanthus-5-x-8-area-rug,ACANTHUS 5' X 8' Area Rug,"FREE SHIPPING
Make the room feel complete with ACANTHUS 5' X 8' Area Rug and its Contemporary character. As a accent rug, it is designed to complement your space. Finished in Taupe tones, the 100% Nylon build balances durability with visual appeal.
Product Dimensions: 5' x 8'

Materials: 100% Nylon
Color: Taupe
Weight: 15.54 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ACANTHUS",TRUE,Color,Taupe,,,,,RG8141S,7049,shopify,20,deny,manual,109,327,TRUE,FALSE,,,,,FALSE,ACANTHUS 5' X 8' Area Rug in Taupe | GOODDEGG,The ACANTHUS Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG8141S,new,FALSE,,g,,109,,,,,,,active
acanthus-8-x-10-area-rug,ACANTHUS 8' X 10' Area Rug,"FREE SHIPPING
ACANTHUS 8' X 10' Area Rug brings a Contemporary look to your home with a refined, comfortable feel. This accent rug is made to fit naturally into the room. The 100% Nylon construction is complemented by Taupe tones for a polished look.
Product Dimensions: 8' x 10'

Materials: 100% Nylon
Color: Taupe
Weight: 28.68 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ACANTHUS",TRUE,Color,Taupe,,,,,RG8141M,13009,shopify,20,deny,manual,199,597,TRUE,FALSE,,,,,FALSE,ACANTHUS 8' X 10' Area Rug in Taupe | GOODDEGG,The ACANTHUS Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG8141M,new,FALSE,,g,,199,,,,,,,active
acapulco-chair,ACAPULCO Chair,"FREE SHIPPING
Elevate your space with ACAPULCO Chair, styled in Traditional and designed for everyday comfort. Built as a upholstery chair, it pairs well with a wide range of interiors. With Fabric, Solid Wood, Others and Black  or  Off-White tones, it blends structure and softness in one clean profile.
Product Dimensions: 44"" W x 42""D x 46.5"" H
Features
- Made with solid wood & wood veneer

Materials: Fabric, Solid Wood, Others
Color: Black  or  Off-White
Weight: 115.5 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Chair, ACAPULCO",TRUE,Color,Black/Off-White,,,,,FM65001ES-CH,52390,shopify,20,deny,manual,459,1137,TRUE,FALSE,,,,,FALSE,ACAPULCO Chair in Black  or  Off-White | GOODDEGG,The ACAPULCO Chair adds comfortable seating and style to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,FM65001ES-CH,new,FALSE,,g,,459,,,,,,,active
acapulco-chair,ACAPULCO Chair,"FREE SHIPPING
ACAPULCO Chair adds a Traditional touch while keeping the room feeling warm and welcoming. As a upholstery chair, it is designed to complement your space. Crafted from Fabric, Solid Wood, Others, it is finished in Off-White tones that pair easily with surrounding decor.
Product Dimensions: 44"" W x 42""D x 46.5"" H
Features
- Made with solid wood & wood veneer

Materials: Fabric, Solid Wood, Others
Color: Off-White
Weight: 118.8 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Chair, ACAPULCO",TRUE,Color,Off-White,,,,,FM65001WH-CH,53887,shopify,20,deny,manual,459,1137,TRUE,FALSE,,,,,FALSE,ACAPULCO Chair in Off-White | GOODDEGG,The ACAPULCO Chair adds comfortable seating and style to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,FM65001WH-CH,new,FALSE,,g,,459,,,,,,,active
acapulco-loveseat,ACAPULCO Loveseat,"FREE SHIPPING
Make the room feel complete with ACAPULCO Loveseat and its Traditional character. This upholstery loveseat is made to fit naturally into the room. Finished in Black  or  Off-White tones, the Fabric, Solid Wood, Others build balances durability with visual appeal.
Product Dimensions: 70.5"" W x 43""D x 48"" H
Features
- Made with solid wood & wood veneer

Materials: Fabric, Solid Wood, Others
Color: Black  or  Off-White
Weight: 160.6 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Loveseat, ACAPULCO",TRUE,Color,Black/Off-White,,,,,FM65001ES-LV,72847,shopify,20,deny,manual,630,1590,TRUE,FALSE,,,,,FALSE,ACAPULCO Loveseat in Black  or  Off-White | GOODDEGG,The ACAPULCO Loveseat offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,FM65001ES-LV,new,FALSE,,g,,630,,,,,,,active
acapulco-loveseat,ACAPULCO Loveseat,"FREE SHIPPING
ACAPULCO Loveseat brings a Traditional look to your home with a refined, comfortable feel. Built as a upholstery loveseat, it pairs well with a wide range of interiors. The Fabric, Solid Wood, Others construction is complemented by Off-White tones for a polished look.
Product Dimensions: 70.5"" W x 43""D x 48"" H
Features
- Made with solid wood & wood veneer

Materials: Fabric, Solid Wood, Others
Color: Off-White
Weight: 165 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Loveseat, ACAPULCO",TRUE,Color,Off-White,,,,,FM65001WH-LV,74843,shopify,20,deny,manual,630,1590,TRUE,FALSE,,,,,FALSE,ACAPULCO Loveseat in Off-White | GOODDEGG,The ACAPULCO Loveseat offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,FM65001WH-LV,new,FALSE,,g,,630,,,,,,,active
acapulco-sofa,ACAPULCO Sofa,"FREE SHIPPING
Elevate your space with ACAPULCO Sofa, styled in Traditional and designed for everyday comfort. As a upholstery sofa, it is designed to complement your space. With Fabric, Solid Wood, Others and Black  or  Off-White tones, it blends structure and softness in one clean profile.
Product Dimensions: 84.5"" W x 43""D x 48"" H
Features
- Made with solid wood & wood veneer

Materials: Fabric, Solid Wood, Others
Color: Black  or  Off-White
Weight: 187 lbs",Furniture of America,,Upholstery,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Upholstery, Sofa, ACAPULCO",TRUE,Color,Black/Off-White,,,,,FM65001ES-SF,84822,shopify,20,deny,manual,879,2217,TRUE,FALSE,,,,,FALSE,Acapulco Sofa in Black  or  Off-White | GOODDEGG,The ACAPULCO Sofa offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,FM65001ES-SF,new,FALSE,,g,,879,,,,,,,active
